Data Type,Device Name,Room Name,Timestamp,TIME,MINUTE,HOUR,Datetime,Value
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71184E+12,23:39:04,00:00:00,23:00:00,2024-03-30T23:39:03.545Z,25.16176118
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71184E+12,00:19:05,00:00:00,00:00:00,2024-03-31T00:19:04.740Z,24.91627088
sensors_relativehumidity,Kitchen Light Switch#1,Kitchen,1.71185E+12,02:41:27,00:00:00,02:00:00,2024-03-31T02:41:27.055Z,27.5635
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71187E+12,06:16:01,00:00:00,06:00:00,2024-03-31T06:16:01.214Z,24.60707816
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71188E+12,10:18:16,00:00:00,10:00:00,2024-03-31T10:18:16.242Z,24.50055862
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71188E+12,11:17:48,00:00:00,11:00:00,2024-03-31T11:17:48.040Z,24.54671897
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.7119E+12,14:25:41,00:00:00,14:00:00,2024-03-31T14:25:40.935Z,24.83413923
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.7119E+12,16:22:06,00:00:00,16:00:00,2024-03-31T16:22:06.408Z,25.17657942
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.7119E+12,16:53:47,00:00:00,16:00:00,2024-03-31T16:53:47.266Z,25.30790956
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71191E+12,19:14:14,00:00:00,19:00:00,2024-03-31T19:14:13.530Z,25.28068217
sensors_relativehumidity,Kitchen Light Switch#1,Kitchen,1.71193E+12,23:11:00,00:00:00,23:00:00,2024-03-31T23:11:00.220Z,28.6072
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71193E+12,00:15:33,00:00:00,00:00:00,2024-04-01T00:15:32.761Z,25.13503663
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71193E+12,01:11:54,00:00:00,01:00:00,2024-04-01T01:11:54.382Z,24.90072747
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71196E+12,08:21:00,00:00:00,08:00:00,2024-04-01T08:21:00.161Z,24.5987206
sensors_relativehumidity,Kitchen Light Switch#1,Kitchen,1.712E+12,18:33:45,00:00:00,18:00:00,2024-04-01T18:33:45.092Z,29.6387
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71208E+12,17:52:16,00:00:00,17:00:00,2024-04-02T17:52:16.344Z,24.49729045
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71209E+12,19:21:54,00:00:00,19:00:00,2024-04-02T19:21:53.782Z,24.54696784
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71211E+12,01:59:09,00:00:00,01:00:00,2024-04-03T01:59:08.635Z,24.45825088
sensors_relativehumidity,Kitchen Light Switch#1,Kitchen,1.71212E+12,04:14:07,00:00:00,04:00:00,2024-04-03T04:14:07.400Z,30.6824
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71213E+12,06:52:36,00:00:00,06:00:00,2024-04-03T06:52:36.004Z,24.51716316
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71213E+12,07:57:12,00:00:00,07:00:00,2024-04-03T07:57:12.089Z,24.68817237
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71214E+12,09:16:05,00:00:00,09:00:00,2024-04-03T09:16:05.177Z,24.94272928
sensors_relativehumidity,Kitchen Light Switch#1,Kitchen,1.71215E+12,12:41:04,00:00:00,12:00:00,2024-04-03T12:41:04.135Z,31.7749
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71216E+12,15:27:33,00:00:00,15:00:00,2024-04-03T15:27:33.219Z,25.00844696
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71216E+12,16:38:47,00:00:00,16:00:00,2024-04-03T16:38:47.364Z,24.93251022
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71217E+12,18:04:17,00:00:00,18:00:00,2024-04-03T18:04:16.753Z,24.75040766
sensors_relativehumidity,Kitchen Light Switch#1,Kitchen,1.71218E+12,20:25:35,00:00:00,20:00:00,2024-04-03T20:25:35.303Z,30.7678
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71223E+12,10:54:08,00:00:00,10:00:00,2024-04-04T10:54:07.551Z,24.73930575
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71223E+12,12:07:03,00:00:00,12:00:00,2024-04-04T12:07:03.487Z,24.85860431
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71224E+12,13:29:36,00:00:00,13:00:00,2024-04-04T13:29:36.406Z,25.07325323
wondrwall_temperature,Kitchen Light Switch#1,Kitchen,1.71224E+12,13:58:59,00:00:00,13:00:00,2024-04-04T13:58:58.803Z,25.10796492
